line,epoch,date,time,activity,marker,sleep/wake,intervalstatus,s/wstatus,
192,2111,27/06/2013,17:35:30,141,0,1,active,nan,
193,2112,27/06/2013,17:36:00,212,0,1,active,nan,
194,2113,27/06/2013,17:36:30,659,0,1,active,nan,
195,2114,27/06/2013,17:37:00,335,0,1,active,nan,
196,2115,27/06/2013,17:37:30,796,0,1,active,nan,
197,2116,27/06/2013,17:38:00,434,0,1,active,nan,
198,2117,27/06/2013,17:38:30,234,0,1,active,nan,
199,2118,27/06/2013,17:39:00,226,0,1,active,nan,
200,2119,27/06/2013,17:39:30,198,0,1,active,nan,
201,2120,27/06/2013,17:40:00,131,0,1,active,nan,
202,2121,27/06/2013,17:40:30,72,0,1,active,nan,
203,2122,27/06/2013,17:41:00,173,0,1,active,nan,
204,2123,27/06/2013,17:41:30,92,0,1,active,nan,
205,2124,27/06/2013,17:42:00,205,0,1,active,nan,
206,2125,27/06/2013,17:42:30,276,0,1,active,nan,
207,2126,27/06/2013,17:43:00,212,0,1,active,nan,
208,2127,27/06/2013,17:43:30,118,0,1,active,nan,
209,2128,27/06/2013,17:44:00,44,0,1,active,nan,
210,2129,27/06/2013,17:44:30,61,0,1,active,nan,
211,2130,27/06/2013,17:45:00,0,0,1,active,nan,
212,2131,27/06/2013,17:45:30,141,0,1,active,nan,
213,2132,27/06/2013,17:46:00,168,0,1,active,nan,
214,2133,27/06/2013,17:46:30,276,0,1,active,nan,
215,2134,27/06/2013,17:47:00,141,0,1,active,nan,
216,2135,27/06/2013,17:47:30,99,0,1,active,nan,
217,2136,27/06/2013,17:48:00,212,0,1,active,nan,
218,2137,27/06/2013,17:48:30,40,0,1,active,nan,
219,2138,27/06/2013,17:49:00,51,0,1,active,nan,
220,2139,27/06/2013,17:49:30,85,0,1,active,nan,
221,2140,27/06/2013,17:50:00,276,0,1,active,nan,
222,2141,27/06/2013,17:50:30,198,0,1,active,nan,
223,2142,27/06/2013,17:51:00,448,0,1,active,nan,
224,2143,27/06/2013,17:51:30,903,0,1,active,nan,
225,2144,27/06/2013,17:52:00,747,0,1,active,nan,
226,2145,27/06/2013,17:52:30,1057,0,1,active,nan,
227,2146,27/06/2013,17:53:00,1090,0,1,active,nan,
228,2147,27/06/2013,17:53:30,1588,0,1,active,nan,
229,2148,27/06/2013,17:54:00,1024,0,1,active,nan,
230,2149,27/06/2013,17:54:30,370,0,1,active,nan,
231,2150,27/06/2013,17:55:00,109,0,1,active,nan,
232,2151,27/06/2013,17:55:30,102,0,1,active,nan,
233,2152,27/06/2013,17:56:00,242,0,1,active,nan,
234,2153,27/06/2013,17:56:30,463,0,1,active,nan,
235,2154,27/06/2013,17:57:00,113,0,1,active,nan,
236,2155,27/06/2013,17:57:30,304,0,1,active,nan,
237,2156,27/06/2013,17:58:00,358,0,1,active,nan,
238,2157,27/06/2013,17:58:30,78,0,1,active,nan,
239,2158,27/06/2013,17:59:00,285,0,1,active,nan,
240,2159,27/06/2013,17:59:30,150,0,1,active,nan,
241,2160,27/06/2013,18:00:00,173,0,1,active,nan,
242,2161,27/06/2013,18:00:30,185,0,1,active,nan,
243,2162,27/06/2013,18:01:00,205,0,1,active,nan,
244,2163,27/06/2013,18:01:30,85,0,1,active,nan,
245,2164,27/06/2013,18:02:00,131,0,1,active,nan,
246,2165,27/06/2013,18:02:30,131,0,1,active,nan,
247,2166,27/06/2013,18:03:00,58,0,1,active,nan,
248,2167,27/06/2013,18:03:30,127,0,1,active,nan,
249,2168,27/06/2013,18:04:00,179,0,1,active,nan,
250,2169,27/06/2013,18:04:30,0,0,1,active,nan,
251,2170,27/06/2013,18:05:00,47,0,1,active,nan,
252,2171,27/06/2013,18:05:30,618,0,1,active,nan,
253,2172,27/06/2013,18:06:00,579,0,1,active,nan,
254,2173,27/06/2013,18:06:30,448,0,1,active,nan,
255,2174,27/06/2013,18:07:00,1057,0,1,active,nan,
256,2175,27/06/2013,18:07:30,347,0,1,active,nan,
257,2176,27/06/2013,18:08:00,478,0,1,active,nan,
258,2177,27/06/2013,18:08:30,325,0,1,active,nan,
259,2178,27/06/2013,18:09:00,1199,0,1,active,nan,
260,2179,27/06/2013,18:09:30,1799,0,1,active,nan,
261,2180,27/06/2013,18:10:00,1317,0,1,active,nan,
262,2181,27/06/2013,18:10:30,526,0,1,active,nan,
263,2182,27/06/2013,18:11:00,325,0,1,active,nan,
264,2183,27/06/2013,18:11:30,358,0,1,active,nan,
265,2184,27/06/2013,18:12:00,276,0,1,active,nan,
266,2185,27/06/2013,18:12:30,796,0,1,active,nan,
267,2186,27/06/2013,18:13:00,510,0,1,active,nan,
268,2187,27/06/2013,18:13:30,266,0,1,active,nan,
269,2188,27/06/2013,18:14:00,226,0,1,active,nan,
270,2189,27/06/2013,18:14:30,579,0,1,active,nan,
271,2190,27/06/2013,18:15:00,212,0,1,active,nan,
272,2191,27/06/2013,18:15:30,150,0,1,active,nan,
273,2192,27/06/2013,18:16:00,212,0,1,active,nan,
274,2193,27/06/2013,18:16:30,162,0,1,active,nan,
275,2194,27/06/2013,18:17:00,102,0,1,active,nan,
276,2195,27/06/2013,18:17:30,191,0,1,active,nan,
277,2196,27/06/2013,18:18:00,88,0,1,active,nan,
278,2197,27/06/2013,18:18:30,78,0,1,active,nan,
279,2198,27/06/2013,18:19:00,92,0,1,active,nan,
280,2199,27/06/2013,18:19:30,17,0,1,active,nan,
281,2200,27/06/2013,18:20:00,88,0,1,active,nan,
